대사	라벨
우리모두 준혁이성과 LG선수들이 선전할수 있게 기를 넣어줍시다.	1
웃긴거 알죠?~ㅋㅋㅇ ㅏ~	1
덕분에 주방에서 요리하는게 넘 좋아졌어요	1
 마지막 순간 손가락으로 총을 만들어 쏘실때에는 제가 직접 맞는 것 같습니다.	1
어떻게 여성 요리사 보다 더 인기가 많으신지...저도 늘 반찬 만들때 따라하고 있답니다.	1
우리에게 맛있는 음식을 전하시는 백주부님 당신 멋져	1
활동혜택으로 오션월드 입장권 2매까지 주는 폴인러버!	1
글구 지호 100일도 축하해요...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
 응원합니다.그리고..사랑합니다.  화이팅!!!!	1
원호 형님 형님이 올해 우리팀으로 온다고 해서 얼마나 기뻤는지 몰라요	1
예D ~ 500일 축하해요	1
생일진심으로 축하해요	1
 축하~!!!	1
요리가 차~암 쉽쥬~~~~^^	1
10년뒤예디에게손편지쓰고꼭예밤음감회도갈께요!	1
요리의 매력에 빠졓슈	1
예D ~예밤 300일 너무너무 축하해요 ^^	1
항상 밝은 에너지덕분에 힘이 납니다!!!	1
대단하신 우리 백쌤, 화이팅요!!	1
화이팅!!^^	1
제일처럼 기쁘고 좋은데....	1
생일 축하해요	1
덕분에 요리가 즐거워요~	1
800일 축하해요	1
이런이런 오늘 신문을 보니 엘지가 올시즌을 포기한다구 나왔더라구여!!!	1
낼 생일이라 함 가보려구요..ㅎㅎ~~	1
너무 너무 좋아요!!	1
백종원씨는 역시 프로입니다 ㅎㅎ	1
붐붐 1위한거 너무 축하해요 !♡	1
앞으로 언제나 캐럿들이 함께 있을게요!	1
건강한 하루요~~~	1
하루에 2만명 넘고 너무 좋겠네요!!	1
7500일 축하해요	1
축하드려요.	1
고게 훨씬 귀엽고 더 어려보여요 진~짜~	1
정말 행복해요.	1
백주부님딸바보 되시겠네요	1
*^^*최만호 화이팅~ (^^)/	1
돈(데프콘형님 패러디^^)화이팅~!!	1
항상 좋은일잇길바랄께요ㅎㅎㅎㅎ	1
오빠의 유쾌한 웃음소리가 들리는듯 하네여...	1
방동민 선수 화이팅!	1
매번 좋은 정보 감사합니다.	1
오늘이 캐럿이라고 불린지 600일이 되는날이예여♡♡	1
오늘이 바로 새븐틴이 700일이 되는 날이에요!!	1
대상 수상 축하해요	1
생일 진심 축하드려요 ㅜㅜ!!!	1
세븐틴 예쁘다!!	1
무한도전에서 연기 넘 잘하셨어여...	1
자랑스럽네요~~	1
응원할게요^^	1
요즘 대세 시죠.	1
 울 도니오빠는 일등 신랑감!	1
꼭 봤으면 하는 영화1.	1
백주부님을 보고 요리에 대해 관심이 생겼어요!!	1
준휘오빠 생일축하해요	1
일롸처럼 들어오는 카페가 되었네요.	1
나이에두 상관없이 진짜 열씨미 뛰어주는 울 용수 아자씨 홨팅임다!!	1
오늘 콘서트했는데 다치지말고 숙소 잘 들어가요	1
