대사	라벨
조선인 위안부들을 구하러 한국군이 도착했습니다.	1
찾아온 것만으로 기쁜 일이라 생각했습니다.	1
아빠에게 그렇게 친절하게 대해주셔서 감사드립니다.	1
온 몸에 힘이 빠져 휘청대는 그녀를 도왔다.	1
그는 그 말씀을 감사하게 여겼습니다.	1
돈독한 우정의 표시라며 반지를 선물했다.	1
괴물을 보고 도망치고 있는데 낚시꾼이 도와주었다.	1
감격한 소리로! 고맙습니다.	1
신세 진 것은 꼭 갚아야겠다고 했다.	1
제 힘으로 할테니 염려마세요.	1
나를 문병해 준 것은 잊지 않을게.	1
편지를 해준 것이 가슴에 스미도록 고마웠습니다.	1
연회 정보가 필요합니다.	1
나를 잘 부탁한다고 당부하고 떠났다.	1
덤불이 공주의 옷을 잡아 옷이 예뻐졌다.	1
그는 나에게 예의를 지켜 정중하게 말했습니다.	1
친구의 손목을 잡고 고마운 인사를 하였습니다.	1
당신의 마음은 하늘의 별보다 더 아름답습니다.	1
아줌마는 배고플때마다 음식을 챙겨주시는 상냥한 분이었어요.	1
거기에 소녀가 물건을 지키고 서 있었습니다.	1
조각가는 그녀를 견습생으로 흔쾌히 받아 주었다.	1
남편이 그녀의 절망을 잘 헤쳐주던 것이다.	1
노신사의 도움으로 집으로 돌아올 수 있었습니다.	1
무례한 사람에게 저 대신에 말해 주었습니다.	1
내 일생에 고마운 일 중 가장 큰 것 이예요.	1
마음만 아들인 그보다 그녀와 훨씬 통했다.	1
그녀를 기다리다가 차소리를 듣고 짐을 옮겨주었다.	1
도시 생활의 고마움을 그들은 새삼스럽게 깨달았다.	1
어머니께서 항상 쓰레기통을 비워주셨습니다.	1
꽃잎 한 장을 띄워 주었습니다.	1
어머니는 맛있는 빵과 포도주를 싸 주었지요.	1
의자 없이는 견뎌내지 못했을 것이라고 말했다.	1
어쩌면 일 년쯤으로 떨어질는지도 모른다는 생각도 있었다.	1
당신이 무사히 갈 수 있도록 돕겠어요.	1
방해되지 않도록 얌전히 따라다닐게.	1
아뇨, 덕분에 이젠 아프지 않아요.	1
나에게 들려와서 아픈 중에도 너를 고맙게 여겼단다.	1
선생님은 저로 하여금 방분스러운 음악을 낳도록 애써 주셨습니다.	1
같은 날 것으로 표 구해드릴게요.	1
월드컵 경기를 중계방송하는 데에는 지불해야 하는 일정한 중계권료를 지원받았다.	1
부인은 친절하게 죽을 쑤어다가 그에게 주었다.	1
죽어도 너의 감사한 은혜는 잊지 못하겠다.	1
가는 길에 내 결혼식에 참여해주세요.	1
고마워요. 덕분에 저도 기운을 차렸어요.	1
광고지를 보고 우리 가게로만 오게 되었어요.	1
널 살릴 수 있는 치료법이란다!	1
호랑이는 한 달에 두 번 돼지를 놓고 갔다.	1
아내에게는 감사의 인사를 전했다.	1
갈 곳이 없던 저를 거두어 주셔서 감사드립니다.	1
고마워.	1
내색은 안 했지만 보통 감동한게 아니다.	1
못 움직이고 있었는데 그녀가 구조대와 도착했다.	1
남몰래 두 사람의 부하를 보냈던 것입니다.	1
내게 부어준 그 애정이 빚어준 것이다.	1
같이 떠나자는 말에 정신이 들었다.	1
저는 친절하게 말을 걸며 그녀에게 접근해서 용기를 주었어요.	1
바쁘신 틈을 타서 와 주셔서 고맙습니다.	1
물통과 도시락을 자동차로 집까지 실어 주었다.	1
이 은혜 잊지 않겠습니다.	1
장관은 저에게 감사하고 있습니다.	1
어쨌든 고마웠다.	1
기쁜지 감사한지 어찌할 길을 몰랐습니다.	1
할아버지는 용서해주었습니다.	1
내 맘을 채찍질해주는 것을 감사히 알고 있습니다.	1
맛있는 음식 고마워요.	1
챙겨줘서 고마워.	1
이것은 교장님이 가끔 특별히 주는 것이었습니다.	1
제가 시계를 찾아왔어요.	1
어린아이가 웃으며 사탕을 건네주었다.	1
옆에 있으면 위로가 될 것 같아.	1
늘 내 방에 감사했다.	1
다 좋으니 그저 나타난 것만이 고마웠다.	1
바위는 정말 고마웠습니다.	1
이 약초를 먹고 병이 나을 거예요.	1
옳거니, 달래로 무를 사러 가는구나!	1
중대한 임무를 띠고 떠난다고 했다.	1
커다란 버터 빵 두 개를 가지고 왔습니다.	1
안동의 양반댁에서 하인을 시켜 고기를 보내왔습니다.	1
프랑스의 상팀이라는 동전은 센트의 오 분의 일정도 가치밖에 안돼요.	1
그는 꿀을 모으고 이슬을 길어 전달해주셨습니다.	1
도깨비는 그녀를 돕기 위해 올라갔다.	1
은혜를 어떻게 갚아야 할지 모르겠습니다.	1
참 영약이더라.	1
두 눈이 자부심으로 반짝이고 있었습니다.	1
그녀가 도와주어 재화를 잃지 않았다.	1
아가씨는 노신사의 도움으로 집으로 돌아갔다.	1
그는 고마워하며 받아 먹기 시작했다.	1
갑자기 창문이 열려 추격을 따돌릴 수 있었습니다.	1
사고의 책임자가 유가족들에게 조의를 담은 말을 건넸다더라.	1
그가 피뢰침을 집 옆에 설치해주고 떠났다.	1
아주머니는 아랫마을에서 일어난 소식을 들려주곤 했어요.	1
교회 전도사인 그는 기꺼이 예배당을 빌려주겠다고 했습니다.	1
머리를 숙여 그의 의견을 고맙게 들었다.	1
눈을 뜨니 그녀는 여느 때처럼 시중을 들려고 와 있었습니다.	1
쥐가 그물을 끊어주어 간신히 탈출했다.	1
부드러운 인형을 아버지가 선물로 사다주셨습니다.	1
참 감사합니다.	1
어머니, 고맙습니다.	1
어부는 물에 물고기를 놔주었다.	1
이 감사한 은혜를 어떻게 갚을까요? 했다.	1
북쪽으로 달아나는 기차가 있어 다행이었다.	1
이모부는 이모 덕분에 마음이 안정됐다.	1
평소엔 보지 못한 그런 반가운 표정이었다.	1
그도 당신에게 고마워 할거예요.	1
그렇게 되면 너희는 요정 왕의 마법에 풀릴 수 있단다.	1
미안한 마음을 느끼게 할 만큼 고맙고 다행스러웠습니다.	1
의금부에 못 들어가서 서러워하니 의로운 분이 도와주셨습니다.	1
나는 장인님이 너무나 고마워서 어느덧 눈물까지 났다.	1
거미가 그녀를 위기에서 구해주었습니다.	1
나와 시간을 보내주어 고맙습니다!	1
그는 그녀의 손을 붙들고 고맙다고 했다.	1
많은 관심을 주셔서 감사합니다.	1
안내해 줘서 고마워요.	1
신경써줘서 고마워.	1
서울 왔다가 양옥집 구경도 할 겸 우리집으로 오세요.	1
우리 기업은 은행의 도움으로 위기를 모면했다.	1
엄마는 여행을 존중해주셨다.	1
젊은이가 그녀의 비명 소리를 듣고 구해주었다.	1
다시 운전수에게로 와서 감사의 말을 건네었다.	1
그녀의 도움 덕에 크게 다치지 않았습니다.	1
네 공부 준비로 서울에 가는 거야.	1
오빠가 나를 간호해준 거였어?	1
길을 잃어 헤매고 있는데 노인께서 도와주셨다.	1
은공은 죽어도 못 잊겠습니다.	1
안전한 곳에서 친구들이 쉴 수 있었다.	1
그는 감사해서 잠시 동안 양말과 주인의 얼굴을 번갈아 쳐다보았어요.	1
사람들이 하나둘씩 걸리버를 도와주기 시작했어요.	1
이건 분명 뭔가가 있어.	1
좋은 기회를 이용하고자 선두에서 만세를 외쳤다.	1
어깨를 나란히 하고 세계를 형성하려는 정의에 감격했다.	1
모든 것이 새로이 신기하다.	1
소를 저렇게 잘 다뤄?	1
그분의 특성이 강렬해져 사물의 외형이 무관해졌다.	1
그 선수의 슈팅 시도가 성공했다.	1
네게 약점이 생기리라고는 나도 생각하지 못했어.	1
그의 의지는 바위와도 같지 않은가!	1
발명한 미국사람을 잊어버릴 수 없다.	1
올려놓은 금속판에 빛전자파을 쐬어 통과된 모습이 사진으로 나타나요.	1
나를 도와준 이가 누구지?	1
이 집의 마부는 명랑하고 똑똑해 보였습니다.	1
누군지 그것 참 굉장한 사람인 모양이네요.	1
수학 문제를 나가서 푸는 아이는 신처럼 우러러보이던 것이다.	1
약은 아주 맑은 물 같았습니다.	1
이제 사람들 속에 의연하게 서 있다.	1
불가능하단 걸 알고서도 탈출을 시도했다.	1
활을 어찌 잘 쏘는지!	1
그들은 마음이 정직하여 남의 물건을 탐내는 법이 없었습니다.	1
날개가 생겨 날아다닐 수 있게 되었습니다.	1
이 많은 걸 언제 다 했습니까?	1
가난한 사람을 돕고 아이를 예뻐하는 호랑이입니다.	1
공민왕은 임금으로 추대되었다.	1
정말 굉장한 일이야.	1
완전히 가시지 않은 두려움이 한순간에 잠재워졌다.	1
억지로 골낸 얼굴을 선생님은 다시 웃었다.	1
나는 그 속에서 불멸의 후광을 보았다고 믿었다.	1
영화는 스크린에 재현하는 종합 예술이에요.	1
그녀가 타고 온 썰매는 백조 모양이었다.	1
물을 정화할 수 있는 정수기를 마을에 설치했다.	1
어쩜 이렇게 똑같은 열쇠고리가 있을까?	1
세기의 커플이 결혼을 발표했다.	1
일년 동안 생산된 생산물을 시장가로 나타낸 것이다.	1
현역 세계 챔피언을 꺾었습니다.	1
모든 짐승들이 달려와 악마를 공격하기 시작했다.	1
거미는 슬그머니 가랑잎 뒤로 사라져 버렸습니다.	1
도깨비 아닌가요?	1
집에 다다르자 어떻게 알았는지 잠에서 깨 들어갔습니다.	1
종이봉투를 이용해 뼈 옷을 만들어요.	1
믿을 수 없는 일이 발표되었기 때문이다.	1
뜻밖의 재주에 감탄하는 손뼉 소리가 여기저기서 울렸다.	1
나무꾼은 큰 도끼를 휘둘렀습니다.	1
새벽마다 뽑은 것이 테니스 운동장만한 판을 만들게 되었다.	1
형은 매일매일 열심히 우물을 파기 시작했습니다.	1
삼세대 비엠더블유에는 세 가지의 타이어가 들어간다.	1
함경도에서 오랑캐를 몰아내달라고 요청했다.	1
작은 소리가 전달되어 큰 소리로 변합니다.	1
누구나 로봇을 조립할 수 있게 한 모듈이다.	1
몰라서 못하는 것이 아니라고 대담하게 말했다.	1
뇌에서 내린 명령을 우리 몸 구석구석까지 전달해요.	1
냉기와 습기를 없애려 벽난로를 집에 설치했습니다.	1
보기 힘들다는 돌고래를 보았습니다.	1
도깨비가 유리병 속에 갇혔었다는 건 믿을 수 없어.	1
노벨은 인류 최초로 다이너마이트를 발명하게 된 것이에요.	1
두 개의 물체가 서로 닿아 비벼질 때 전기를 띠기 때문이야.	1
유대교는 유일신을 믿어요.	1
특별공급 전체 평균 경쟁률의 두배다.	1
해체없이 활동을 해왔다.	1
배당률은 금일 낮게는 네배까지 올라갔다.	1
전기가 너무 신기한 것 같아요.	1
한편 대통령은 곧이어 소규모 및 확대 정상회담을 갖는다.	1
타슈켄트는 기원전부터 오아시스 촌락의 형태로 발달했다.	1
십삼 세 소녀의 꿈은 끝없이 펼쳐졌다.	1
바다거북이 지나간 흔적이 꼭 바큇자국 같지?	1
땅을 조심스럽게 파서 알들을 옮겨 담았어.	1
나라끼리 활발하게 거래하는 것을 자유무역이라고 합니다.	1
혼자서 생각하고 탄식하고 하였다.	1
가수들은 화려한 색깔의 무대 의상을 입고 있었다.	1
제주도 한라산은 조선에 둘째로 높은 산으로 육천칠백 척이나 됩니다.	1
황금 물결이 치는 경치에 마음이 끌렸다.	1
머리뼈는 단단하고 둥근 뇌를 보호해 주어요.	1
포도주와 빵을 실컷 먹으니 거인처럼 커졌어요.	1
이 알은 누구의 알일까요?	1
해바라기 꽃잎으로 지리와 통계를 배울 수 있다니!	1
도둑들은 다른 두 사람에게 쫓기다 잡혔어.	1
그는 재주를 하늘에서 타고났다.	1
이십삼 년도에는 수입이 오십삼만 원 이상에 달하였다.	1
주름진 피부가 펴지고 희끗하던 머리칼이 검게 변합니다.	1
우물이 깊어 올려다보고 있으니, 끈이 생겼습니다.	1
이 지역에서는 네 개의 언어를 사용합니다.	1
대체 얼마나 많이 잡혔기에 그렇게 무거웠나.	1
스무 번이나 풀어 문제를 맞춰내었습니다.	1
세상은 정원의 건너편까지 아름답게 펼쳐져 있단다.	1
의사는 아픈 환자들을 치료하는 사람이기 때문이다.	1
암탉수탉다람쥐는 어떻게 나무를 잘 탈까?	1
장애인 여행객 역시 소비 주체임을 인식하기 시작한 것이다.	1
후원재단은 프로그램과 대상자를 확대할 계획이다.	1
별들이 이렇게 아름다워 보일 수 있다니!	1
병사 옆에 서서 그를 지켰다.	1
국민들은 열렬히 환호했다.	1
그런데 외계인이 타고 다니는 비행 물체는 정말 있는 걸까요?	1
거짓말 같은 일이었다.	1
이상한 형체가 걸어 나왔는데 유령으로 착각했어.	1
어두운 구름을 밀쳐낼 용기를 가졌습니다.	1
썰매 차들이 빠른 속도로 역사에 도착했다.	1
다른 아기에 비하면 두 배는 되겠군.	1
비릿하던 냄새가 손짓에 전부 사라졌습니다.	1
특별한 재주에 놀라셨습니다.	1
어린 나이에 아버지를 잃고도 잘 견뎌서 참 대견했어.	1
이보다 더 착한 사람들은 없으리라고 감복하였습니다.	1
신비한 사건을 모두 네가 보았단 말이냐?	1
소년은 귀여운 어린이 하나를 등에 업고 파도를 헤치면서 돌아왔습니다.	1
자동차는 공기의 저항을 덜 받도록 디자인했어요.	1
여러 책을 내어 백성들을 풍요롭게 하였다.	1
각양각색의 꽃들과 나무들은 열매를 맺고 있었습니다.	1
브랜드평판지수가 반등했다.	1
그는 무서워서 벌벌 떨면서도 옆방에서 벌어지는 신기한 일을 지켜보았습니다.	1
이렇게 활쏘기를 잘하므로 사람마다 그를 신궁이라고 불렀다.	1
짐이 두 짝이래요.	1
유의미한 자료가 나왔다고 생각한다.	1
또한 태양신을 믿고 부활을 믿던 끄들은 피라미등와 미이라를 만들었다.	1
문제를 잘 풀어 급제해 뽑힌 사람이 있었다.	1
제자들은 그제서야 스승을 이해하며 박수를 보냈습니다.	1
경찰의 빠른 대처로 가해자가 신속히 잡혔다.	1
동굴처럼 만들어진 작은 방에서 스웨터를 짰습니다.	1
댁의 자제분이 일등을 하셨어요.	1
금붕어의 몸통은 빨간 옷을 입고 다니는 것처럼 보이기 때문이다.	1
우리 임시정부 국무위원과 한국독립당 간부들을 초청하였다.	1
영화 제작 스태프가 얼마나 노력했는지 알게되었다.	1
우리는 달콤한 것을 모아 만듭니다.	1
그는 또 한번 비명을 올렸다.	1
재단을 처음 설립한 건 이천십 년이었습니다.	1
그런 재봉틀이 뜻밖에도 왔다.	1
그녀를 소개하는 방법은 압도적인 것이라 하겠다.	1
우리가 이겼습니다.	1
그의 전술은 대서양의 늑대들이라고 불렸다.	1
파란 하늘 빛과 흰 구름이 얼마나 고운가?	1
아름다운 자태를 보고 놀랐습니다.	1
시계에 생기는 그림자로 시간을 알아냈어요.	1
